Source,Target,Weight
1250160,593953,15457
1615849,1521658,52
1615849,1011977,71
1563790,1342699,312
1563790,729002,624
1563790,124649,201
1563790,1079617,2728
1449699,634747,255
940464,634747,4451
1042363,634747,48
634747,21073,47
634747,972634,707
634747,1449699,158483
634747,124649,2912
634747,1042363,1323
634747,940464,24277
957142,124649,226
270422,663969,68000
270422,663969,50000
663969,21073,214
663969,336204,22697
602822,344956,1209569
344956,1042363,3786
344956,124649,1475
344956,602822,4596559
344956,972634,1985
3397,124649,1384
284173,1063646,448
284173,1371865,1924
284173,88928,4016
1389227,1342699,8868
1389227,1042363,1473
1389227,124649,3249
1250160,475236,52390
475236,124649,152
475236,1250160,25627870
604135,972634,16
604135,1613543,61
1037279,1042363,139
873534,668846,32
1421882,21073,47
1421882,1042363,538
1421882,729002,735
1421882,124649,322
88928,504415,265
504415,972634,1332
504415,1521658,275
504415,88928,272733
1371865,228105,315
1237214,490469,128
490469,729002,671
490469,1237214,79394
490469,1042363,203
490469,124649,44
803713,1449699,1846
803713,940464,2780
38177,88928,497
391175,1266638,1977
1452907,124649,1831
1452907,972634,244
810333,644047,116
877247,124649,184
877247,729002,85
1521658,588973,476
602822,588973,1363146
588973,729002,1538
588973,124649,1341
588973,972634,12243
588973,1521658,15630
588973,602822,5431949
1449699,641799,2214743
641799,1449699,988
641799,972634,339
270422,21073,214
270422,364719,3530
270422,336204,36086
519191,124649,52
519191,972634,3
1398235,21073,899
1398235,1406314,32171
1266638,940464,16
806038,588141,110167
806038,588141,207681
80155,588141,667
588141,972634,107
588141,729002,186
588141,80155,59429
1309844,926931,408
1237214,926931,838
926931,1309844,96
926931,1237214,55907
926931,1309844,2210
1255204,738207,9543
738207,972634,15
738207,1255204,920098
738207,364719,30640
1449699,529738,11
529738,1449699,22294
189744,124649,89
485167,124649,88
184850,124649,72
528416,972634,690
1058077,1521658,153
1011977,21073,251
81993,124649,78
1449699,1559672,1274
1559672,1449699,152813
1237214,287367,771
1342699,287367,165
287367,124649,2675
287367,1521658,51
287367,1342699,412
1227917,621025,102
1250160,517412,10980
176196,517412,63
517412,176196,165260
517412,1250160,15084051
1504787,65401,377569
1504787,65401,423109
65401,124649,543
65401,1504787,675123
65401,1504787,575589
1237214,1401592,759
1342699,1401592,356337
1401592,1342699,86148
1401592,21073,1670
1401592,1237214,102792
1401592,1406314,30977
1521658,812857,1557
812857,124649,142
812857,1521658,15997
569011,729002,44
1042363,1394345,5267
1394345,1449699,1155
1394345,1371978,1187
1394345,1042363,32
1521658,558845,12
1283539,558845,5447
558845,1521658,1573
558845,364719,1598
558845,972634,10588
558845,1042363,12426
558845,124649,16885
1504787,972634,161
1504787,729002,72
1504787,124649,2098
7620,810333,36606
7620,810333,493803
1613543,810333,6658
810333,1406314,2227
405815,426661,17000
537607,1042363,77
537607,972634,116
537607,124649,43
458534,732617,237670
732617,362021,33457
732617,1342699,54743
732617,1406314,1218
732617,458534,798289
721336,26704,470
721336,26704,5450
1342699,28179,967532
28179,972634,89
28179,1342699,30747
28179,1521658,30329
28179,124649,1000
1268605,1521658,145
845046,463362,4567
845046,463362,17358
463362,972634,626
463362,749966,38116
463362,845046,758831
