Source,Target,Weight
845393,1610564,144
918157,616605,11
902883,345799,2
345799,208742,2
345799,1203299,6
345799,1296353,1
345799,1191796,1
345799,1575908,1
345799,528544,1
345799,1597964,1
345799,279701,1
345799,124649,5
345799,1036048,1
345799,488321,8
345799,1091598,1
345799,627273,1
345799,165857,7
345799,1188597,1
345799,693304,1
345799,1454985,1
345799,941893,3
345799,1335269,32
345799,149464,33
345799,1483217,2
345799,199476,2
345799,941133,102
345799,994381,1
345799,657851,1
345799,416938,10
345799,1374624,19
1589575,853184,1
902883,1039743,1
902883,1589575,33
902883,845393,5
902883,1393697,2
902883,141261,6
902883,604687,8
902883,910960,15
902883,918157,3
902883,985428,1
902883,1263615,8
902883,845300,2
902883,1087594,13
902883,256525,1
902883,71848,13
902883,152857,4
902883,1623315,1
902883,856443,1
902883,1527917,1
902883,361840,1
902883,830894,1
902883,588323,1
902883,1037628,2
902883,462056,1
902883,179458,1
604687,902883,3
1589575,902883,8
1527917,1437990,8
845393,1173486,290
845393,1173486,282
1527917,388979,26
1527917,388979,21
856443,1290847,2
845393,901085,262
845393,901085,29
1527917,108831,27
845300,901616,3
462056,1173452,1
604687,918157,2
1589575,918157,1
918157,815578,5
918157,1577945,14
918157,845936,5
918157,605669,14
918157,1156860,25
918157,1250053,48
918157,729002,5
918157,135600,7
918157,1430410,377
918157,344745,69
918157,1327574,3
918157,1589575,34
918157,196714,36
918157,1251085,1
918157,604687,36
918157,1110266,67
918157,623610,16
918157,1213819,3
918157,537016,32
918157,917574,2
918157,524911,27
918157,1393697,4
918157,800278,1
918157,1251085,2
918157,733101,6
918157,1430410,7
918157,638092,7
918157,1556658,17
918157,1558701,26
918157,1579939,14
918157,1327574,18
918157,799433,3
918157,1115688,4
918157,1317886,1
918157,1465621,30
1527917,813261,138
1527917,813261,8
845300,1208407,120
345799,1186180,5
345799,80315,2
345799,1091373,1
345799,1083934,1
345799,1398343,4
345799,539984,3
345799,1391803,1
345799,1207591,1
345799,323754,1
345799,654362,2
345799,1250075,1
345799,288208,1
345799,1087959,2
345799,975547,1
345799,339942,1
345799,1557035,1
345799,940854,54
345799,179917,1
345799,1268530,3
345799,107802,2
345799,1148506,1
345799,1395133,1
345799,598475,1
345799,924874,2
345799,1597561,1
345799,1361698,1
345799,478957,2
345799,190409,29
345799,340814,53
345799,510129,1
345799,1505161,3
345799,840574,2
345799,696593,1
345799,950064,36
345799,35289,23
345799,1575234,30
345799,1291990,1
345799,856571,30
345799,891315,58
345799,1181770,2
345799,1370074,1
345799,1557976,1
918157,1498404,2
918157,1166852,1
918157,17688,8
918157,878395,34
918157,326806,16
918157,1594969,3
918157,1188806,4
918157,549605,28
918157,695169,6
918157,494682,24
918157,502609,29
918157,1601705,30
918157,575363,59
918157,1051478,6
918157,1529848,1
918157,631409,3
918157,190409,46
918157,1619103,1
